video_id,title,description,published_at,channel_id,channel_title,category_id,tags,duration,definition,caption,view_count,like_count,dislike_count,favorite_count,comment_count
gu7zjr46EAU,Bigg Boss Telugu 8 | Day 2 - Promo 1 | Pattukone Undandi Task for Contestants | Nagarjuna | Star Maa,"Get ready for the thrilling 'Pattukone Undandi' task in the Bigg Boss Telugu 8 house! Watch the contestants take on this challenge and see who emerges victorious?  @DisneyPlusHotstarTelugu #StarMaa
#BiggBossTelugu8 @Nagarjuna

Follow us on 
Instagram:https://instagram.com/starmaa?igshid=Yzg5MTU1MDY=
Twitter: https://twitter.com/StarMaa?t=L_Dotp4sFWmuinHWfbr4bw&s=09
Facebook: https://www.facebook.com/maatv/",2024-09-02T04:50:02Z,UCJF4y2nyCCrDKTgA7dxz1Qw,Star Maa,22,"['star maa', 'maa tv serials', 'maa tv serials promo', 'star maa serials promo', 'guppedantha manasu serial today episode', 'nuvvu nenu prema serial today episode', 'malli serial telugu today episode', 'guppedantha manasu serial today episode full video', 'telugu serial', 'new serial promo', 'new episode', 'maatv', 'best serial telugu']",PT1M52S,hd,false,1876109,42143,0,0,1983
2cJC6OXsvV0,Jewellery Shopping for Ozy’s Wedding 🌟| Ishaani Krishna.,,2024-09-01T05:54:13Z,UCDIuIf4lKDneweAYP1ZhDiQ,Ishaani Krishna,22,[],PT21M23S,hd,false,1243031,23300,0,0,1135
KBLcz24_Mxs,RG Kar Incident: Dr. Tapas Pramanick 'Exposes' Murder Incident & Threat involving Sandip Ghosh,"RG Kar Incident: চিকিৎসক খুনের রাতে কী হয়েছিল, আর জি করের এমারজেন্সি বিল্ডিংয়ে কাকে দেখেছিলেন? কেন সন্দীপ ঘোষের বিরুদ্ধে উঠছে তোলাবাজির অভিযোগ? খুনের নেপথ্য থেকে দুর্নীতি, রক্তাক্ত 'রহস্য ফাঁস' আর জি করে অভিশপ্ত রাতে অন ডিউটিতে থাকা চিকিৎসকের।
In a startling revelation, Doctor Tapas Pramanick from RG Kar Hospital has disclosed details about a murder incident that occurred overnight and a threatening culture among some medicos, including Sandip Ghosh. Watch our detailed report on these serious allegations and their implications for the medical community.

#rgkarincident #rgkarhospital #sandipghosh #tapaspramanick  #rgkardoctorsdeath #banglanews #bengalinews #banglakhobor #sangbadpratidin


````````````````````````````````````````````````````````````````````````````````````````````````````````````
For More Information :
Visit our Website: https://www.sangbadpratidin.in/
Like us on Facebook: https://www.facebook.com/sangbadpratidin.in/
Follow us on Twitter: https://twitter.com/SangbadPratidin
Follow us Instagram: https://www.instagram.com/sangbadpratidin/",2024-09-01T11:12:14Z,UCLPCvTftdZpZQSM-mckfqXQ,Sangbad Pratidin,25,"['Bengali News', 'Bangla News', 'sangbad pratidin', 'Sangbad Pratidin', 'RG Kar Incident latest news', 'RG Kar Incident latest update', 'RG Kar Incident latest news update', 'RG Kar Incident live update today', 'RG Kar Incident recent news', 'RG Kar Incident current news', 'RG Kar Incident latest news and update today', 'RG Kar Incident update today', 'RG Kar Incident news today', ""RG Kar Incident today's news"", 'RG Kar Incident latest video', 'RG Kar Incident update', 'sandip ghosh latest update']",PT21M34S,hd,false,1444969,20831,0,0,1627
fgbZGDjzXUc,Maximum Mass - Lyrical Video | Max | Baadshah Kichcha Sudeep | B Ajaneesh Loknath | Vijay Kartikeyaa,"For more latest songs & videos, subscribe 👉 https://bit.ly/Saregama_Kannada

Presenting the Mass first single 'Maximum Mass' from 'Max' starring Baadshah Kichcha Sudeep. Directed by Vijay Kartikeyaa. Music composed by B Ajaneesh Loknath.

Song Credits:
Music : B. Ajaneesh Loknath Song composed, arranged & programmed by : B. Ajaneesh Loknath 
Keyboard: B. Ajaneesh loknath, Nirupan Chakravarthy 
Rhythm: Kalyan Chakravarthy 
Singer chethan Gandharva & rap by MC Bijju 
Voice casting : C R Bobby 
Kannada Vocals 
Vocals Recorded by
Recording Engineer: Sandeep Kumar JN
Renu studio
Bangalore 
Lyrics : Anup Bhandari , Rap Mc Bijju
Mixed & Mastered by : M P Sajayan Kumar 
Renu Film Studio 
Bangalore 
Music Production:  C R Bobby & B Ajaneesh Loknath 
Abbs Studios
Bangalore

CREDITS : 
Banner: V Creations &  Kichcha Creatiions
Director : Vijay Kartikeyaa
DOP: Shekar Chandra
Music Director : B Ajaneesh Loknath
Production Designer: Shiva Kumar J
Editor: SR Ganesh Baabu
Executive Producer: M T Sriram
Production Controller: A Ilan kumaran
Production Executive: N Mahendran
Costume Designer : Bharath Sagar
Costumer: Perumal selvam
Make Up : Nellai V.Shanmugam
Sound Mix: T Uday Kumar (Knack Studios)
Sound Design: T Uday Kumar
 Ranjith Venugopal
M Saravana Kumar 
(Sound Vibe)
DI: Knack Studios
Mixed by Sajay Kumar MP 
Colorist: Prasath Somasekar
VFX : Ajax
Stills: Theni Murugan
Designs: Kaani Studios
PRO : Riyaz K Ahmed
Promotions: KRG Connects

Lyrics: 
Apange Huttidre Thode Thatti Baaro
Buddhi Netgidre Hange Sidg Jaaro
Uriyo Jwala Mukhi Munde Nillor Yaaro
Warning Warrant Illa Bandre Direct Waaro
Panja Yethi Bitta Andre Onduvare Ton Boss
Rattel Baala Bala Edelide Dum Boss
Sukka Sukka Sukka Sukka Sikkapatte Badass
Mukka Moothi Seelogutthe Ikthaan Bandu Mad Max
Maxe Maximum Mass…Massali Massige Boss
Yaako Tiruga Muruga Ivan Hatra Bartira..
Rakta Kudiyalu Kaayuttiruva Baliyaagi Saaytira..
Kai Katti Nilbeku, Sumne Irbeku, Moole Muriva Nodiko
Yaarigu Baggada Gooli Ivanu Sumane Jaariko..
Bhaya Bheethi Gotthe Illa Yaare Bandru Bindaas
Pundara Higga Mugga Rubbodene Timepass
Sukka Sukka Sukka Sukka Sikkapatte Badass
Mukka Moothi Seelogutthe Ikthaan Bandu Mad Max
Maxe Maximum Mass…Massali Massige Boss


Label: Saregama India Limited, A RPSG Group Company

To buy the original and virus free track, visit www.saregama.com
Follow us on: YouTube: https://www.youtube.com/user/Saregamakannada
Facebook: http://www.facebook.com/Saregamakannada
X: https://twitter.com/saregamasouth

#MaximumMass #Max #kicchasudeep #bajaneeshloknath #saregamakannada",2024-09-02T01:24:07Z,UCKFnbjBQDzzh002TMJcyuZA,Saregama Kannada,10,"['maximum mass kannada song', 'maximum mass max kannada song', 'maximum mass lyrics kannada', 'maximum mass song', 'maximum mass lyrical video song', 'max kannada song', 'kannada songs', 'max song', 'max single', 'latest kannada songs', 'kannada songs 2024', 'trending kannada songs', 'kichcha sudeep', 'kiccha sudeep songs', 'new kannada songs', 'kannada new songs', 'kichcha sudeep songs', 'ajaneesh loknath']",PT2M38S,hd,false,1030696,93059,0,0,4225
Nn1po78Hq_Q,[HINDI] iQOO BMPS 2024 | BLUE SET GROUP 3&4 | ROUND 1 - Week 2 Day 4,"Dive into the thrill of BGMI with the iQOO BATTLEGROUNDS MOBILE INDIA PRO SERIES 2024! Watch as 128 Pro Teams battle for a staggering ₹2 Crore Prize Pool. Experience every high-stakes moment, from strategic plays to the final victorious showdown. Blue set - Group 3&4 will be battling out today to show dominance.
 
GROUP 3 - Orangutan, TWOB, iQOO Soul, GLOBAL ESPORTS, GENxFM ESPORTS, TMG Gaming, Revenant Esports, Autobotz Esports, INSPIRATION ESPORTS, LIVECRAFT ESPORTS, UC Gaming, Teenager Esports, Unify Esports, GENESIS ESPORTS, TEAM TWISTED SOUL, REMORSELESS
 
GROUP 4 - CARNIVAL GAMING, RTGxIND, WindGod Esports, Dragon Esports, Team Bliss, Hero Xtreme Godlike, Sarkar Gaming, Team Originals, NoNx eSports, SBA Esports, Inertia Esports, Team Z, RVNC ESPORTS, R Esports, PSY OFFICIAL, Team Snipy
 
 
#PATHTOGLORY #iQOOBMPS2024 #BMPS2024 #BATTLEGROUNDSMOBILEINDIA #KRAFTONINDIAESPORTS",2024-09-01T16:04:55Z,UCugG6-k5QGbq_iDEPAnG4NQ,KRAFTON INDIA ESPORTS,20,"['BATTLEGROUNDS MOBILE INDIA', 'BATTLEGROUNDSMOBILEINDIA', 'BATTLEGROUNDS MOBILE', 'BATTLEGROUNDS', 'BATTLEGROUNDS MOBILE INDIA OFFICIAL CHANNEL', 'BATTLEGROUNDS MOBILE INDIA YOUTUBE', 'BGMI', 'BATTLEGROUNDS MOBILE INDIA Release date', 'BATTLEGROUNDS MOBILE INDIA Teaser', 'BGMI LIVE', 'BGIS 2024', 'BGIS 2023', 'BGIS', 'iqoo z9 s pro', 'iqooz9spro', 'iqooz9', 'Miramar', 'Miramer', 'Erangle', 'BGMI 3.2 Update', 'BGMI in game name change', 'GRIND']",PT5H58M46S,hd,false,1893138,62531,0,0,257
TxPl4cYqcA4,MUDIYAN | RISHI's WEDDING INVITATION,"I'm so excited to share that I'm finally getting married!  
Join me as I share the joy, excitement, and behind-the-scenes moments leading up to the big day. 

#mudiyan #uppummulakum #wedding #weddinginvitation #neelu 

DIGITAL PARTNER: Magazine Media Entertainment 

|| ANTI-PIRACY WARNING ||

This content is Copyrighted to Rishi K . Any unauthorized reproduction, redistribution or re-upload is strictly prohibited. Legal action will be taken against those who violate the copyright of the same",2024-09-01T11:30:07Z,UCWB9EGOW6HfcnXTmZr6D1Sw,Rishi K,24,"['mudiyan', 'mudiyan wedding', 'rishi s kumar wedding', 'mudiyan marriage news', 'uppum mulakum mudiyan', 'uppum mulakum mudiyan marriage']",PT22M38S,hd,false,987728,26696,0,0,848
V0cimRkOoNA,DOG LIFE SIMULATOR IS SUPER FUN!,"DOG LIFE SIMULATOR IS SUPER FUN!
#technogamerz 

Subscribe to our Second YouTube Channel: https://www.youtube.com/c/UjjwalGamer


Share, Support, Subscribe!!!
Subscribe: http://bit.ly/technogamerz
Discord : https://bit.ly/ujjwaldiscord
Youtube: https://www.youtube.com/c/TechnoGamerzOfficial
Twitter:  https://www.twitter.com/ujjwalgamer
Facebook: https://www.facebook.com/technogamerz
Facebook Myself: https://www.facebook.com/ujjwalgamer
Instagram: https://instagram.com/ujjwalgamer
Google Plus: https://plus.google.com/+TechnoGamerzOfficial
Website: https://technogamerz.in/
Merchandise: https://shop.technogamerz.in/


Business Email : technogamerzofficial@gmail.com


About : Techno Gamerz is a YouTube Channel, where you will find gaming videos in Hindi, I hope this video was Useful and you liked it, if you did press the thumbs up button.",2024-09-02T05:27:10Z,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,20,"['dog life', 'life simulator', 'gameplay', 'girlfriend', 'funny', 'ujjwal', 'techno gamerz']",PT30M38S,hd,false,1348583,96883,0,0,5843
cdcsooyc7Eg,Siragadikka Aasai | 2nd to 7th September 2024 - Promo,சிறகடிக்க ஆசை - திங்கள் முதல் சனி இரவு 9 மணிக்கு நம்ம விஜய் டிவில...... Click here - https://www.hotstar.com/in/shows/siragadikka-aasai/1260128356 to watch the show on Disney+ Hotstar. #SiragadikkaAasai #VijayTelevision,2024-09-01T04:30:16Z,UCvrhwpnp2DHYQ1CbXby9ypQ,Vijay Television,24,"['Siragadikka Aasai', 'Star', 'Star Vijay TV', 'Vijay TV', 'Vijay', 'தமிழ்', 'விஜய்', 'டிவி', 'தொலைக்காட்சி', 'Tamil TV', 'Tamil Shows']",PT45S,hd,false,3299555,77924,0,0,611
L9PS9di_BT0,Bigg Boss Telugu 8 Grand Launch Today @ 7PM | Nagarjuna | #BiggBossTelugu8 |  Star Maa,"🔥 🔥 The moment you've all been waiting for is finally here! Bigg Boss Telugu Season 8 is kicking off tonight at 7:00 PM with Nagarjuna at the helm. Special guests Nani and Rana Daggubati will add extra star power to the grand launch only on @Disneyplushotstartelugu and @starmaa!
Follow us on 
Instagram:https://instagram.com/starmaa?igshid=Yzg5MTU1MDY=
Twitter: https://twitter.com/StarMaa?t=L_Dotp4sFWmuinHWfbr4bw&s=09
Facebook: https://www.facebook.com/maatv/",2024-09-01T04:58:30Z,UCJF4y2nyCCrDKTgA7dxz1Qw,Star Maa,22,"['star maa', 'maa tv serials', 'maa tv serials promo', 'star maa serials promo', 'guppedantha manasu serial today episode', 'nuvvu nenu prema serial today episode', 'malli serial telugu today episode', 'guppedantha manasu serial today episode full video', 'telugu serial', 'new serial promo', 'new episode', 'maatv', 'best serial telugu']",PT2M44S,hd,false,3023618,67003,0,0,1695
ak6acH-vhvc,Epic Tabletop RPG Adventure Awaits! Clash of Clans New Season,"Step into a world of magic, mystery, and epic quests! Our latest season brings the thrill of tabletop RPGs to life. Whether you're a seasoned adventurer or a new hero, this is your chance to prove your mettle. With new challenges, exclusive rewards, and endless adventure, the path to glory starts here!

Learn more about what is to come: https://supercell.com/en/games/clashofclans/blog/news/tabletop-rpg-adventure-awaits/


Follow us on our Socials!
Twitter ► https://twitter.com/ClashofClans/
Instagram ► https://www.instagram.com/clashofclans 
Facebook ► https://www.facebook.com/ClashofClans 
TikTok ► https://www.tiktok.com/@clashofclans

Attack. Defend. Strategize. Download for free for mobile devices. supr.cl/PlayClashOfClans

From rage-­filled Barbarians with glorious mustaches to pyromaniac wizards, raise your own army and lead your clan to victory! Build your village to fend off raiders, battle against millions of players worldwide, and forge a powerful clan with others to destroy enemy clans.
PLEASE NOTE! Clash of Clans is free to download and play, however some game items can also be purchased for real money 

Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash of Clans.
A network connection is also required.

FEATURES
- Build your village into an unbeatable fortress 
- Raise your own army of Barbarians, Archers, Hog Riders, Wizards, Dragons and other mighty fighters
- Battle with players worldwide and take their Trophies
- Join together with other players to form the ultimate Clan
- Fight against rival Clans in epic Clan Wars 
- Build 18 unique units with multiple levels of upgrades
- Discover your favorite attacking army from countless combinations of troops, spells, Heroes and Clan reinforcements 
- Defend your village with a multitude of Cannons, Towers, Mortars, Bombs, Traps and Walls
- Fight against the Goblin King in a campaign through the realm

Chief, are you having problems? Visit https://help.supercellsupport.com/clash-of-clans/en/

Privacy Policy:
https://supercell.com/en/privacy-policy/

Terms of Service:
https://supercell.com/en/terms-of-service/

Parent’s Guide:
https://supercell.com/en/parents/

#clashofclans #seasonchallenges #TTRPG #RPG #newseason",2024-09-01T08:00:05Z,UCD1Em4q90ZUK2R5HKesszJg,Clash of Clans,20,"['clash of clans', 'COC', 'Clash of Clans Gameplay', 'Clash of Clans Strategy', 'Clash of Clans Animation', 'Clash of Clans Commercial', 'Clash of Clans Attacks', 'Clash of Clans Town Hall', 'Hog Rider', 'PEKKA', 'Clan Wars', 'season challenges', 'clan war leagues', 'clash on', 'clan game', 'clan games', 'clash-a-rama', 'clasharama', 'TTRPG', 'RPG', 'Clash RPG game', 'tabletop game', 'new season', 'clash of clans new season', 'clash new skins']",PT54S,hd,false,4039347,72573,0,0,4194
